seed,policy,test_bpb,calibration_bpb,train_elapsed_seconds,train_bytes_per_second,test_mean_data_patches,test_mean_bytes_per_patch
1729,fixed_byte_6,1.6529376380827503,1.6385637559475228,3202.8159726660233,39886.77497872628,86.0,5.953488372093023
1729,causal_codepoint_grid,1.6481003895128044,1.6328873630835787,3146.3097628749674,40603.122269584586,86.0,5.953488372093023
1729,causal_whitespace_grid,1.6392174971655535,1.6240038285288183,3412.401112374966,37436.98228696463,86.0,5.953488372093023
2718,fixed_byte_6,1.6505373972634603,1.6354612247340623,3196.9733024160378,39959.67057449492,86.0,5.953488372093023
2718,causal_codepoint_grid,1.6465807383551512,1.6312696732456284,3392.997861040989,37651.07000710152,86.0,5.953488372093023
2718,causal_whitespace_grid,1.6351667462548622,1.6203075468721082,3265.447476417059,39121.74393329116,86.0,5.953488372093023
31415,fixed_byte_6,1.649237154153242,1.6346691174861705,3177.1704848749796,40208.733087556335,86.0,5.953488372093023
31415,causal_codepoint_grid,1.6442099729107413,1.628967782108349,3424.1541800410487,37308.48357957659,86.0,5.953488372093023
31415,causal_whitespace_grid,1.6348594759443333,1.619912475528326,3485.2792868339457,36654.164411612786,86.0,5.953488372093023
57721,fixed_byte_6,1.6544207836387046,1.6401288629391662,3332.7202707920223,38332.049983192905,86.0,5.953488372093023
57721,causal_codepoint_grid,1.6485894332225648,1.634344183072362,3329.8331278329715,38365.28591543525,86.0,5.953488372093023
57721,causal_whitespace_grid,1.640771193173476,1.6269295011406224,3330.3026927080937,38359.87650003005,86.0,5.953488372093023
65537,fixed_byte_6,1.650809592580172,1.6363615373744358,3334.7019785419106,38309.27046016218,86.0,5.953488372093023
65537,causal_codepoint_grid,1.6448419458616033,1.6301584821216941,3332.724472041009,38332.00166162072,86.0,5.953488372093023
65537,causal_whitespace_grid,1.6355706087568675,1.6206909421087226,3041.728370915982,41999.14799148536,86.0,5.953488372093023
