seed,source,policy,test_bpb,calibration_bpb,training_seconds
1729,phase3_primary_reused,causal_whitespace_grid,1.6392174971655535,1.6240038285288183,3412.401112374966
1729,phase3_mechanism_new,causal_grid_delayed2,1.648468813612182,1.6338574927412413,3521.2680859579705
1729,phase3_mechanism_new,causal_placebo_grid,1.6588342499807247,1.644778707611341,3516.6868761670776
2718,phase3_primary_reused,causal_whitespace_grid,1.6351667462548622,1.6203075468721082,3265.447476417059
2718,phase3_mechanism_new,causal_grid_delayed2,1.64649369060775,1.6312481026079175,3535.6667339579435
2718,phase3_mechanism_new,causal_placebo_grid,1.6564601527154046,1.6417276758112676,3555.466336832964
31415,phase3_primary_reused,causal_whitespace_grid,1.6348594759443333,1.619912475528326,3485.2792868339457
31415,phase3_mechanism_new,causal_grid_delayed2,1.645204482279464,1.6301137906902134,3491.275249624974
31415,phase3_mechanism_new,causal_placebo_grid,1.6560490323597945,1.641398369992665,3035.203112957999
